,Diode
,Capacitor
,Variable capacitor
,Field effect transformer
,Antenna
,Inductor
,Resistor
,DC Voltage Source
,Lamp
,Battery
,Ground
,Switch
,LED
,NPN Transistor
,Transformer
,Capacitor
What is voltage (V)?,Electrical pressure/potential difference,Like water pressure. Measured in volts.
What is current (I or A)?,Flow of electrons,Like water flow rate. Measured in amps.
What is resistance (R)?,Opposition to current flow,Like pipe friction. Measured in ohms (Ω).
What is power (P)?,Rate of energy transfer,Measured in watts (W). Energy per second.
What's the difference between AC and DC?,AC = Alternating (flips polarity). DC = Direct (constant polarity),Batteries are DC. Wall outlet is AC.
Which direction does current flow (conventional)?,Positive to negative,Opposite of electron flow (negative to positive)
What is ground?,Reference point for voltage (0V). Also safety connection to Earth.,Like sea level for elevation. Everything measured relative to it.
What does polarity mean?,Which terminal is positive vs negative,Reversed polarity can damage equipment
Series connection means?,Components connected end-to-end (single path),Current same through all. Voltages add.
Parallel connection means?,Components connected side-by-side (multiple paths),Voltage same across all. Currents add.
What is a short circuit?,Low/zero resistance path (usually accidental),"Causes huge current, blows fuse, dangerous"
What is an open circuit?,Infinite resistance - broken/disconnected path,No current flows. Like water pipe break.
What does a resistor do?,"Limits current flow, drops voltage, dissipates power as heat","Passive component, always dissipates energy"
What does a capacitor do?,"Stores charge, blocks DC, passes AC",Like spring - stores/releases energy
What does an inductor do?,"Stores energy in magnetic field, resists current changes",Like flywheel - opposes changes in current
What does a diode do?,Allows current in ONE direction only,Like check valve in plumbing
What does a transistor do?,Amplifies signal OR acts as electronic switch,Foundation of all modern electronics
What is impedance (Z)?,AC version of resistance (includes capacitance/inductance effects),Measured in ohms. Z reduces to R at DC.
What is a load?,Device that consumes power,Antenna is load for transmitter. Light bulb is load.
Voltage is to current as ___ is to ___?,Pressure is to flow (fluid). Altitude is to gradient (terrain).,V drives I like pressure drives flow
Series circuit current is like?,Single-threaded execution - same current everywhere,"One path, no branching"
Parallel circuit current is like?,Multi-threaded execution - current splits across paths,"Multiple paths, load sharing"
Short circuit is like?,Null pointer dereference or infinite loop - catastrophic failure,Unintended low-resistance path causes failure
Open circuit is like?,Broken API call or network timeout,"No connection, no data flow"
Resistor divider is like?,Map/reduce operation - transforms input to scaled output,Voltage in → scaled voltage out
Capacitor charging curve is like?,Exponential backoff in networking,Approaches full charge asymptotically
Ground reference is like?,Origin point in coordinate system,All voltages measured relative to ground (like y=0)
Why 12V for ham radio?,"Matches car electrical, standard battery voltage",Portable ops + vehicle ops
100W radio on 12V draws how much current?,"~8A calculated, ~20A peak actual (50% amp efficiency)",Always 2× calculated for real-world
Fuse size for 100W radio?,20-25A (allows for peak draw + safety margin),Not 10A - will blow immediately
Best battery chemistry for portable?,LiFePO4 (lithium iron phosphate),"Best weight, cycle life, energy density"
Solar panel sizing rule?,3× daily Wh consumption,"Accounts for weather, angles, losses"
Anderson Powerpole standard?,Red = positive RIGHT,"Genderless 15-45A connector, ham standard"
Wire gauge for 10A at 12V?,"14 AWG <10ft, 12 AWG longer",Smaller AWG number = thicker wire
Voltage drop formula?,"V = (2×L×R×I)/1000, L=feet, R=Ω/1000ft, I=amps",2× because + and - wire. Want <0.5V drop
HF radio power draw on transmit?,~2× calculated (50-70% amp efficiency),Most power becomes heat
What is LVD?,Low Voltage Disconnect - protects battery at ~11V,Prevents over-discharge damage
Battery capacity (Ah) is like?,RAM or storage capacity,7Ah = 7 hours at 1A (like 7GB storage used at 1GB/hr)
Voltage drop in long wires is like?,Latency in long network cables or API chains,Longer distance = more loss (resistance/impedance)
Solar panel sizing (3× consumption) is like?,Overprovisioning for peak load,Account for cloudy days (like scaling for traffic spikes)
Anderson Powerpole standard is like?,USB-C or standardized connector,"Genderless, universal in ham community"
LVD (Low Voltage Disconnect) is like?,Graceful degradation or circuit breaker,Prevents battery damage (like preventing resource exhaustion)
Power budget (P = V × I) is like?,Resource allocation or capacity planning,Calculate total power draw to size supply
2× power draw rule (amp inefficiency) is like?,Overhead in virtualization or abstraction layers,"Calculated 8A, actual 16A (50% efficiency loss)"
QRL,"I am busy (or I am busy with _________). Are you busy?
Usually used to see if a frequency is busy."
QRM,"Your transmission is being interfered with _________
(1. Nil; 2. Slightly; 3. Moderately; 4. Severely; 5. Extremely.)
Is my transmission being interfered with?"
QRZ,"You are being called by _________ (on ______kHz).
Who is calling me?"
QSL,"I am acknowledging receipt.
Can you acknowledge receipt (of a message or transmission)?"
QSY,"Change to transmission on another frequency (or on ______kHz).
Shall I change to transmission on another frequency (or on ______kHz)?
"
QRO,"Increase power. Shall I increase power?
"
QRP,"Decrease power. Shall I decrease power?
"
QSB,Your signals are fading. Are my signals fading?
QRM,"Your transmission is being interfered with _________
(1. Nil; 2. Slightly; 3. Moderately; 4. Severely; 5. Extremely.)
Is my transmission being interfered with?"
What is a frequency?,Number of wave cycles per second (Hertz),1 MHz = 1 million cycles/second
"What are kHz, MHz, GHz?","kilo (×1000), Mega (×1 million), Giga (×1 billion)","146 MHz = 146,000,000 Hz"
What is a wavelength?,Physical distance of one complete wave cycle,Inversely related to frequency
What is a band?,Range of frequencies grouped together,2m band ≈ 144-148 MHz. 70cm band ≈ 420-450 MHz
HF vs VHF vs UHF - frequency order?,HF (3-30 MHz) < VHF (30-300 MHz) < UHF (300 MHz-3 GHz),"H=High, V=Very high, U=Ultra high"
What does transmit mean?,Send RF signal out via antenna,Your radio is TXing when you talk
What does receive mean?,Pick up RF signal via antenna,Your radio is RXing when you listen
What is simplex?,Both stations transmit/receive on SAME frequency,"Direct radio-to-radio, no repeater"
What is duplex?,"Transmit on one freq, receive on another",Repeaters use duplex (offset between RX/TX)
What is a repeater?,Station that receives and retransmits to extend range,"Usually on hilltop, uses duplex operation"
Repeater offset - what is it?,Frequency difference between input and output,2m typical: +/- 600 kHz. 70cm: +/- 5 MHz
What is FM (modulation)?,Frequency Modulation - voice varies frequency of carrier,"Most common on VHF/UHF. Simple, noise-resistant"
What is AM (modulation)?,Amplitude Modulation - voice varies amplitude of carrier,Aircraft band uses AM. Less efficient than FM
What is SSB?,"Single Sideband - filtered AM, uses less bandwidth",More efficient than AM. Common on HF.
What is CW?,Continuous Wave - morse code (on/off keying),"Oldest mode, narrowest bandwidth, most efficient"
What does PEP mean?,Peak Envelope Power - maximum power during modulation,Legal limit measured in PEP
What is the FCC?,Federal Communications Commission - regulates radio in USA,"Issues ham licenses, enforces rules"
How often must you ID your station?,Every 10 minutes AND at end of transmission,Use callsign in English (voice or CW)
What can a Technician license do?,"Full privileges on VHF/UHF (6m and above), limited HF",Most Techs operate 2m/70cm FM
What can a General license do?,Most HF privileges + all VHF/UHF,Most popular upgrade - unlocks HF
What can Amateur Extra do?,"All frequencies, all modes, all power","Hardest test, full privileges"
What is a callsign?,Unique identifier assigned by FCC,"Format: prefix + number + suffix (e.g., KE5ABC)"
What is QSO?,Two-way radio conversation,'Had a QSO with KE5ABC'
What is QTH?,Your location / station location,'My QTH is New York'
What is 73?,'Best regards' - end of conversation,Not '73s' (redundant). Just '73'
