1 Text, 2 Text
"EVM word size?","256 bits. Optimized for crypto operations."
"Ethereum address format?","Last 20 bytes of Keccak-256(public key)."
"What is EIP-712?","Typed structured data signing. Human-readable."
"What is a reentrancy attack?","Contract calls back before state updated. The DAO hack."
"The DAO hack amount?","$60M ETH (2016). Led to Ethereum Classic fork."
"What is CREATE2?","Deterministic contract address. Based on salt + bytecode."
"Solana signature scheme?","Ed25519. Faster than ECDSA."
"Solana consensus?","Proof of History + Tower BFT."
"What is Proof of History?","Verifiable delay function. Proves time passage."
"Solana vs Ethereum TPS?","~65,000 vs ~15. Different tradeoffs."
"What is a flash loan attack?","Borrow, manipulate, profit, repay in one transaction."
"What is oracle manipulation?","Manipulating price feeds to exploit DeFi protocols."
"What is frontrunning?","Observing mempool, inserting transaction ahead."
"What is MEV?","Maximal Extractable Value. Profit from tx ordering."
"BIP-39 mnemonic length?","12 or 24 words. 128 or 256 bits entropy."
"What is HD wallet derivation?","BIP-32. Tree of keys from single seed."
