1 Text, 2 Text
"What is TAK?","Team Awareness Kit. Android (ATAK), iOS (iTAK), Windows (WinTAK), browser (WebTAK)."
"What is CoT protocol?","Cursor on Target. XML-based messaging standard for TAK. 'What, where, when' of battlefield objects."
"CoT type tree format for friendly ground unit?","a-f-G (atoms-friendly-ground)."
"TAK Server default UDP multicast address?","239.2.3.1:6969"
"What is FreeTAKServer?","Open source TAK server implementation. Alternative to official TAK Server."
"What is milsymbol.js?","Pure JavaScript library for rendering MIL-STD-2525 symbols. No dependencies, SVG/Canvas output."
"milsymbol.js performance?","1,000+ symbols in under 20ms (SVG output)."
"What desktop GIS supports military symbology?","QGIS with MIL-STD-2525 plugin (Planet Federal)."
"What CRS for all military exchange formats?","WGS84 (EPSG:4326)."
"KML vs CoT vs GeoJSON vs Shapefile for military use?","KML: universal visualization. CoT: TAK real-time. GeoJSON: web apps. Shapefile: enterprise GIS."
"What is MIL-STD-2525D?","DOD Interface Standard for Joint Military Symbology. Current version."
"What is APP-6D?","NATO equivalent of MIL-STD-2525. Joint Military Symbology standard."
"What document defines Army military symbols?","FM 1-02.2, Military Symbols."
"What is a GeoPDF?","Printed map that retains geographic referencing. GPS devices can import for navigation."
"MDMP graphics at Mission Analysis step?","MCOO, IPB products, initial enemy SITTEMP."
"MDMP graphics at COA Development?","Scheme of maneuver sketches, force arrays, control measures."
"MDMP graphics at Orders Production?","Complete operations overlay, fire support overlay, CSS overlay."
"What is DST?","Decision Support Template. Shows decision points, NAIs, TAIs, triggers."
"What is NAI?","Named Area of Interest. Location where enemy activity will confirm/deny COA."
"What is TAI?","Targeted Area of Interest. Location where enemy can be interdicted."
