1 Text, 2 Text
"Jomini vs Clausewitz approach?","Jomini: prescriptive, geometric—there are rules. Clausewitz: descriptive, dialectical—war is chaos."
"Jomini vs Clausewitz on politics?","Jomini: politics separate from military. Clausewitz: war IS politics."
"Why read Jomini?","His influence on Civil War generals (Halleck, McClellan) explains their operational choices."
"Name Mahan's Six Elements of Sea Power.","Geographical position, physical conformation (coastline/harbors), extent of territory, population, national character, government character/policy."
"What is Mahan's key insight?","Command of the sea through decisive fleet battle. Sea power determines national greatness."
"What is Corbett's corrective to Mahan?","Command of sea can be 'in dispute,' not just won/lost. Limited war is possible at sea. Joint army-navy cooperation essential."
"Who wrote 'Some Principles of Maritime Strategy'?","Julian Corbett. British naval theorist, more nuanced than Mahan."
"Who wrote 'The Influence of Sea Power Upon History'?","Alfred Thayer Mahan (1890). American naval strategist."
"Which Civil War general was most influenced by Jomini?","Henry Halleck. Translated Jomini into English. McClellan also heavily influenced."
"Why does Mahan matter for understanding China today?","Apply his six elements to PLA Navy. Reveals structural advantages (coastline, shipbuilding) and disadvantages (island chain barriers)."
