Name,Weight_oz,Parent Container,Type,Category,Subcategory,Priority,Waterproof,Worn,Notes,Tags,Condition,Amazon_URL,Last_Used,Purchase_Date,Purchase_Price,Photo_URL,Scan_3D_URL,Serial_Number,Model_Number,Brand,Location_Room,Location_Detail
Spliffings Bag,0.1,WLF Enduro Backpack,Utility,Adventure,Utility,High,Yes,No,"1l Blue dry bag with see-through window with ""Spliffings"" written on the side in Sharpie",all-season;waterproof,Good,https://www.amazon.com/gp/product/B07P4WTBJ7/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,2025-08-19,,,,,,,,Storage,WLF Enduro Backpack
Timbuk2 Waist Pack,70.5,5.11 Rush 24 Backpack,Bag,Adventure,Storage,High,No,No,Black Timbuk2 waist bag with 2 locking carabiners,all-season;urban,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
XPro-3,28.9,Timbuk2 Waist Pack,Tech,Tech,Electronics,High,No,No,"Fujifilm XPro3 with handgrip, custom shutter button, and 23mm lens",all-season;photography,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Small Packtowel,0.1,Timbuk2 Waist Pack,Utility,Adventure,Utility,High,No,No,Multi-use: camera lens cleaning + spill cleanup + cooling cloth + food prep,all-season;essential;multi-use;none,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Large Packtowel,,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Medium,No,No,Body towel for swimming/bathing + ground cloth for resting,all-season;comfort;hygiene;none,Good,https://www.amazon.com/gp/product/B09LNSFL4Q/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1&psc=1,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Matador Ground Blanket,0.1,Timbuk2 Waist Pack,Comfort,Personal,Comfort,High,No,No,Ultralight packable ground sheet for sitting anywhere,outdoor;comfort,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Small Watercolor Notebook,6,Timbuk2 Waist Pack,Creativity,Creative,Art,High,No,No,3,art;creativity,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Spare Fujifilm Battery,0.1,Timbuk2 Waist Pack,Creativity,Creative,Art,Medium,No,No,4,photography;tech,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Pentel Watercolor Brush,0.1,Timbuk2 Waist Pack,Creativity,Creative,Art,High,No,No,3,art;creativity,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
General's Sketching Pencil,0.1,Timbuk2 Waist Pack,Creativity,Creative,Art,High,No,No,4,art;creativity,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
